# 手動で追記する場合は以下の列を使用してください。
# station_name: 駅名（必須）, ward: 区名（例: 港区）, line_name: 路線名（任意）, description: 解説1-2行（任意）, notes: メモ（任意）
# 新規行を追加する場合は上記の列に沿ってカンマ区切りで追加してください。
station_name,ward,line_name,description,notes
霞ケ関,千代田区,,,
岩本町,千代田区,,,
九段下,千代田区,,,
御茶ノ水,千代田区,,,
麹町,千代田区,,,
,,,,
